SendShipNO,NO,SendTime,Lon,Lat,SOG,COG,geometry
2,31,5,119.99638061293645,35.10657634112256,20.0,319.2340252250156,POINT (119.99638061293645 35.10657634112256)
2,33,5,120.07877623466334,35.051289994150935,3.344543398566084,306.6843659387418,POINT (120.07877623466334 35.051289994150935)
2,41,5,120.11018677929827,35.11757024453713,20.0,304.3620326330456,POINT (120.11018677929827 35.11757024453713)
2,42,5,120.14408133272296,35.06061372795459,15.030753244575106,117.79526614991784,POINT (120.14408133272296 35.06061372795459)
2,77,5,120.12137363504387,35.03068634595411,8.76361396695804,207.41071503404964,POINT (120.12137363504387 35.03068634595411)
2,89,5,120.06240948607476,35.01854559140586,20.0,290.74343617767755,POINT (120.06240948607476 35.01854559140586)
2,95,5,120.02853285739856,35.10579269830197,12.88186306362535,326.7299629883119,POINT (120.02853285739856 35.10579269830197)
2,98,5,120.06529546122485,35.00168643181982,2.0,82.4311872677244,POINT (120.06529546122485 35.00168643181982)
3,35,5,120.17083586053838,34.833752250530644,6.859612173603988,57.19337370162356,POINT (120.17083586053838 34.833752250530644)
3,37,5,120.18619601827959,34.84209268109181,15.658868714751472,171.90793766625444,POINT (120.18619601827959 34.84209268109181)
3,39,5,120.11922807192387,34.921604306576114,13.509686381615811,214.7118349238905,POINT (120.11922807192387 34.921604306576114)
3,53,5,120.17233707935793,34.90587014559833,18.605607708497352,4.72547071486099,POINT (120.17233707935793 34.90587014559833)
3,78,5,120.20283541323927,34.84126635394472,19.171625297813023,212.35371101050893,POINT (120.20283541323927 34.84126635394472)
4,31,5,119.95132114561001,35.13145082825976,19.001378908308865,312.1671223450665,POINT (119.95132114561001 35.13145082825976)
4,32,5,119.82934175232505,35.16402951907505,12.513546018235978,24.07092000482345,POINT (119.82934175232505 35.16402951907505)
4,40,5,119.83366170363351,35.139322760013954,17.6232116380597,57.6325637803049,POINT (119.83366170363351 35.139322760013954)
4,69,5,119.803885412474,35.1556575371307,8.99843669956553,155.40530617103644,POINT (119.803885412474 35.1556575371307)
4,73,5,119.86776344007046,35.152357060892115,14.330322415108485,32.66927210864244,POINT (119.86776344007046 35.152357060892115)
4,76,5,119.94705378212393,35.187798682913936,4.252676876932108,95.40460410659452,POINT (119.94705378212393 35.187798682913936)
4,84,5,119.85878419712779,35.161605357115846,11.057796092476597,33.78345705002191,POINT (119.85878419712779 35.161605357115846)
4,88,5,119.80245828864241,35.140426188683186,8.08948475675993,291.5818923115444,POINT (119.80245828864241 35.140426188683186)
4,96,5,119.85424108906315,35.16163178300757,16.533355217183175,283.436897867703,POINT (119.85424108906315 35.16163178300757)
4,97,5,119.92391340662094,35.241738504269115,12.31612412405375,239.54343366364773,POINT (119.92391340662094 35.241738504269115)
4,105,5,119.92544041067345,35.14901525183745,4.4335251696260665,57.04840627295766,POINT (119.92544041067345 35.14901525183745)
4,106,5,119.8703933560345,35.14674267797671,7.973220479517399,114.24217530354952,POINT (119.8703933560345 35.14674267797671)
5,10,5,119.87682718872414,35.06761856046572,2.108688224998768,140.5706376735172,POINT (119.87682718872414 35.06761856046572)
5,12,5,119.84367682451212,34.93371282605956,20.0,290.2367753039914,POINT (119.84367682451212 34.93371282605956)
5,17,5,119.8013367751064,34.97434288463278,14.091725711359562,13.669523698097848,POINT (119.8013367751064 34.97434288463278)
5,18,5,119.78874444575764,35.03718796084495,19.463423442714788,42.1614258126221,POINT (119.78874444575764 35.03718796084495)
5,34,5,119.90763817673934,35.05350378895423,8.663168909183746,102.69397162680468,POINT (119.90763817673934 35.05350378895423)
5,59,5,119.86093873008069,35.00382681732286,19.22142092557391,50.562946039972964,POINT (119.86093873008069 35.00382681732286)
5,70,5,119.88147422678313,35.06299580707131,7.755812472300578,48.91113884816912,POINT (119.88147422678313 35.06299580707131)
5,102,5,119.86448097090454,34.9345521449636,14.979440011663824,200.50052253777375,POINT (119.86448097090454 34.9345521449636)
6,11,5,119.91087105148617,34.779393326730464,14.552072274125486,292.483452767303,POINT (119.91087105148617 34.779393326730464)
6,51,5,119.86903161189855,34.853380141399,13.015396229637659,194.75496958221822,POINT (119.86903161189855 34.853380141399)
6,55,5,119.96366386616187,34.8226706224837,7.478677654267477,188.23589577158663,POINT (119.96366386616187 34.8226706224837)
6,65,5,119.88955369681108,34.8607713565611,13.300540522286694,259.966973857923,POINT (119.88955369681108 34.8607713565611)
6,86,5,119.86889071836357,34.83705604666478,14.085807419426068,29.69076397579869,POINT (119.86889071836357 34.83705604666478)
6,107,5,120.01266350524385,34.80503431561364,12.646257947791913,303.5995855404968,POINT (120.01266350524385 34.80503431561364)
6,108,5,119.89793942056104,34.86119053963853,5.220808002977917,74.20819646798945,POINT (119.89793942056104 34.86119053963853)
6,7,5,119.99688786430093,34.826205683052926,16.562907430661078,258.9185230454036,POINT (119.99688786430093 34.826205683052926)
7,39,5,120.08717013669526,34.908609181385216,9.305623468936716,128.39336480815257,POINT (120.08717013669526 34.908609181385216)
7,55,5,119.98042151933657,34.83025583507852,5.13415736932129,257.52262283682137,POINT (119.98042151933657 34.83025583507852)
7,66,5,120.04262649654001,34.835575242590025,20.0,249.24306703459416,POINT (120.04262649654001 34.835575242590025)
7,92,5,120.03260204779149,34.83632258138395,18.92095207277474,58.96513842375153,POINT (120.03260204779149 34.83632258138395)
7,101,5,120.06071078985525,34.7669409440126,12.213930385522128,166.2194824851626,POINT (120.06071078985525 34.7669409440126)
7,107,5,120.0291897684419,34.81288385672363,10.927864905964185,285.60381421314804,POINT (120.0291897684419 34.81288385672363)
7,0,5,119.9910358752438,34.90400249399919,8.345752240630581,46.416171549922886,POINT (119.9910358752438 34.90400249399919)
7,6,5,119.95179491418249,34.81164112827827,17.70062211688886,231.24481521729925,POINT (119.95179491418249 34.81164112827827)
8,37,5,120.18340180869441,34.83898219205665,15.906027953267694,157.2223360593125,POINT (120.18340180869441 34.83898219205665)
8,39,5,120.11698710074113,34.91829972454077,9.459288496158681,154.9870709015475,POINT (120.11698710074113 34.91829972454077)
8,78,5,120.1999296359541,34.83745635586591,15.532008667318676,79.40574468567165,POINT (120.1999296359541 34.83745635586591)
8,1,5,120.13240265730448,34.850371898677516,12.997358103644384,22.394048275037164,POINT (120.13240265730448 34.850371898677516)
9,24,5,120.22796350249686,35.047200863180535,8.46200099427806,20.48862929148781,POINT (120.22796350249686 35.047200863180535)
9,26,5,120.25076801502827,34.986779355662605,4.157492983346992,284.72664601121545,POINT (120.25076801502827 34.986779355662605)
9,42,5,120.17147111366221,35.05699321296299,13.02158217159199,93.0000930545889,POINT (120.17147111366221 35.05699321296299)
9,43,5,120.24027190370232,35.0428896801269,20.0,85.45869320124358,POINT (120.24027190370232 35.0428896801269)
9,52,5,120.21504268395041,35.00058986580883,14.739298928782043,150.79675074662862,POINT (120.21504268395041 35.00058986580883)
9,61,5,120.21223286706945,35.12399877950374,9.782756559274247,38.31143019625449,POINT (120.21223286706945 35.12399877950374)
9,85,5,120.20343418329338,35.022780148928184,16.408969893277302,262.2463741773608,POINT (120.20343418329338 35.022780148928184)
9,87,5,120.26813352555055,35.06566117665731,11.84049260502677,274.59561946862686,POINT (120.26813352555055 35.06566117665731)
0,15,9,119.97950636470723,34.98933210290344,19.17281639484905,313.4735181486504,POINT (119.97950636470723 34.98933210290344)
0,19,9,119.97712662702754,34.999021253994,11.974048443777043,285.50797332156174,POINT (119.97712662702754 34.999021253994)
0,21,9,120.05416135367045,34.9691354409353,4.623390983278115,210.70032867296695,POINT (120.05416135367045 34.9691354409353)
0,25,9,119.99409469893972,34.922937389182685,11.501097757227384,64.9587786648643,POINT (119.99409469893972 34.922937389182685)
0,28,9,120.00926709262333,34.96961376694869,19.829789164212414,305.83921007708443,POINT (120.00926709262333 34.96961376694869)
0,49,9,119.99547897636465,34.94942961467749,9.663339549862762,272.37577961422664,POINT (119.99547897636465 34.94942961467749)
0,55,9,119.97269629324465,34.850113452950445,12.645472916087261,94.0650428520386,POINT (119.97269629324465 34.850113452950445)
0,66,9,120.0344174742943,34.855429582215265,17.214924736211145,334.8868647804726,POINT (120.0344174742943 34.855429582215265)
0,74,9,119.9736959877552,34.961013483011826,15.569418621520725,310.46965405305133,POINT (119.9736959877552 34.961013483011826)
0,89,9,120.04424625851821,34.985064365258545,17.46656109940006,220.48530106604136,POINT (120.04424625851821 34.985064365258545)
0,91,9,120.02668529624952,34.97743304741262,9.596989115622543,98.13873736532939,POINT (120.02668529624952 34.97743304741262)
0,92,9,120.02445232435281,34.855750222599,15.891144257073833,57.461445016936864,POINT (120.02445232435281 34.855750222599)
0,98,9,120.0476861974491,34.96781596487538,3.036190549781116,71.81748770380116,POINT (120.0476861974491 34.96781596487538)
0,7,9,120.00520011288918,34.852216331832146,19.21807320356221,101.19923243749614,POINT (120.00520011288918 34.852216331832146)
1,35,9,120.16320592469297,34.82346352888911,12.744612172174087,15.023009077049494,POINT (120.16320592469297 34.82346352888911)
1,37,9,120.17860585033297,34.832450340505474,9.721830116675175,193.16429451523493,POINT (120.17860585033297 34.832450340505474)
1,39,9,120.11212124241705,34.91207078394139,14.892581642083254,151.62392319020105,POINT (120.11212124241705 34.91207078394139)
1,53,9,120.1656582146837,34.896950935898026,18.381420412550987,13.089276216668054,POINT (120.1656582146837 34.896950935898026)
1,66,9,120.06801530130853,34.83963405338657,15.230889223302862,54.001025881398846,POINT (120.06801530130853 34.83963405338657)
1,92,9,120.05746001547598,34.83954715702123,20.0,149.10226557693107,POINT (120.05746001547598 34.83954715702123)
1,8,9,120.14751761205703,34.864316574561485,9.096949318977988,344.2046685619064,POINT (120.14751761205703 34.864316574561485)
2,21,9,120.07112972060484,35.00320128375358,8.889671430618804,102.79419168491299,POINT (120.07112972060484 35.00320128375358)
2,22,9,120.02801364381601,35.0391359538518,16.00077796445519,1.3747161991541361,POINT (120.02801364381601 35.0391359538518)
2,23,9,120.08536031102607,35.04880655372242,2.0,87.86455727737498,POINT (120.08536031102607 35.04880655372242)
2,41,9,120.11003765450927,35.11761281095636,20.0,277.1263358144381,POINT (120.11003765450927 35.11761281095636)
2,42,9,120.1448011466731,35.06081242183053,9.635455772700878,144.75903406165614,POINT (120.1448011466731 35.06081242183053)
2,95,9,120.02776528119098,35.10551419931427,15.50489149782118,245.48382093941106,POINT (120.02776528119098 35.10551419931427)
2,98,9,120.0651840463898,35.00160221766771,2.497691268251383,189.92375370671098,POINT (120.0651840463898 35.00160221766771)
3,21,9,120.09466771381109,34.9631144380588,10.972756170654765,217.8662657093917,POINT (120.09466771381109 34.9631144380588)
3,37,9,120.1859590415736,34.84235453614252,9.063019440421748,189.85805025925566,POINT (120.1859590415736 34.84235453614252)
3,39,9,120.11934770722719,34.92197308272342,14.105823149576105,138.28717735228275,POINT (120.11934770722719 34.92197308272342)
3,53,9,120.1730855987126,34.90646614314402,20.0,306.6019185722257,POINT (120.1730855987126 34.90646614314402)
3,1,9,120.13517765734176,34.854024849624466,17.386139941847784,81.87195424948884,POINT (120.13517765734176 34.854024849624466)
4,31,9,119.95102540035371,35.13196822481759,18.685163999656027,38.23354501351491,POINT (119.95102540035371 35.13196822481759)
4,32,9,119.82876984083916,35.16431932200542,11.312715220193352,62.24461862800945,POINT (119.82876984083916 35.16431932200542)
4,60,9,119.82973042425921,35.19312123960346,13.20794012093978,347.8207897327077,POINT (119.82973042425921 35.19312123960346)
4,69,9,119.80420881640951,35.15597210934812,4.949721309648142,228.76201714898443,POINT (119.80420881640951 35.15597210934812)
4,73,9,119.8683768266679,35.15228934354784,16.397288608930484,18.872752012008227,POINT (119.8683768266679 35.15228934354784)
4,76,9,119.94756618033654,35.187816224123154,2.0,90.5134275296078,POINT (119.94756618033654 35.187816224123154)
4,83,9,119.84226369639197,35.26364860773417,3.854721492638552,160.910747149957,POINT (119.84226369639197 35.26364860773417)
4,88,9,119.80235240822748,35.140511849362895,2.0,270.8499788285193,POINT (119.80235240822748 35.140511849362895)
4,96,9,119.85391254132547,35.161881500453944,12.580484630721113,235.35221647572098,POINT (119.85391254132547 35.161881500453944)
4,97,9,119.92424802827547,35.241188231164685,13.181905326394702,245.46860340433082,POINT (119.92424802827547 35.241188231164685)
5,12,9,119.84303173170031,34.93389379572638,14.821808036638577,169.6430982265988,POINT (119.84303173170031 34.93389379572638)
5,17,9,119.80138477330885,34.974586299703006,14.435768473385606,147.28099351448336,POINT (119.80138477330885 34.974586299703006)
5,18,9,119.78927237474058,35.037663799507676,18.542682741139593,72.70586309019802,POINT (119.78927237474058 35.037663799507676)
5,34,9,119.90752359566986,35.053675650386246,4.5345105341469525,334.5809568173667,POINT (119.90752359566986 35.053675650386246)
5,59,9,119.86134655230784,35.004058261252304,20.0,17.881869712368044,POINT (119.86134655230784 35.004058261252304)
5,70,9,119.88146115691124,35.062793963161276,3.8954977354908937,314.9703711303573,POINT (119.88146115691124 35.062793963161276)
5,79,9,119.79957755111079,35.06535233818891,6.1151911877598755,141.4594677891889,POINT (119.79957755111079 35.06535233818891)
5,102,9,119.86455464704608,34.93485380227213,18.076659491658784,218.92174751456133,POINT (119.86455464704608 34.93485380227213)
6,11,9,119.91116192818752,34.77929620258101,11.554084753266014,275.82431590022435,POINT (119.91116192818752 34.77929620258101)
6,51,9,119.86848232368,34.85341954764664,7.1557152812393845,261.89123810380454,POINT (119.86848232368 34.85341954764664)
6,55,9,119.96335346209227,34.82299934381412,13.50218606321867,253.66751272656063,POINT (119.96335346209227 34.82299934381412)
6,65,9,119.88906524164896,34.86001962981739,9.621374227596135,256.1280557752873,POINT (119.88906524164896 34.86001962981739)
6,82,9,119.88287972738235,34.85421424287767,8.866291498755153,131.67609084671795,POINT (119.88287972738235 34.85421424287767)
6,86,9,119.86925198311752,34.837516959477604,19.4253813160824,120.67521152884977,POINT (119.86925198311752 34.837516959477604)
6,99,9,119.89737357591936,34.75743973595314,5.519123992864127,9.154722731716086,POINT (119.89737357591936 34.75743973595314)
6,100,9,119.99210967775743,34.80279322889099,5.911922196232593,246.92473528590594,POINT (119.99210967775743 34.80279322889099)
6,107,9,120.01162730076116,34.80513926288935,11.5910757653891,206.28572328009608,POINT (120.01162730076116 34.80513926288935)
